id;sentence;sentenceForeign;words;sound;visible;created
13;{"sentences":[{"sentence":"The _ is at the end of the hall.","translation":"*Koupelna* je na konci chodby.","solution":["bathroom"],"distractors":[]},{"sentence":"Tom is in the _ , cutting up some vegetables.","translation":"Tom je v *kuchyni* a krájí zeleninu.","solution":["kitchen"],"distractors":[]},{"sentence":"He grows tomatoes in the _ .","translation":"Pěstuje rajčata na *zahradě*.","solution":["garden"],"distractors":[]},{"sentence":"The dog is sitting on the _ .","translation":"Pes sedí na *koberci*.","solution":["carpet"],"distractors":[]}]};;;;1;2019-06-06 14:05:00
14;{"sentences":[{"sentence":"Look at yourself in the _ .","translation":"Podívej se na sebe do *zrcadla*.","solution":["mirror"],"distractors":[]},{"sentence":"I live on the first _ .","translation":"Bydlím v *přízemí*.","solution":["floor"],"distractors":[]},{"sentence":"The teacher sat on the _ .","translation":"Učitel seděl na *židli*.","solution":["chair"],"distractors":[]},{"sentence":"He always sings in the _ .","translation":"Vždycky si zpívá ve *sprše*.","solution":["shower"],"distractors":[]}]};;;;1;2019-06-06 14:05:00
15;{"sentences":[{"sentence":"Mary jumped into the _ .","translation":"Mary skočila do *bazénu*.","solution":["pool"],"distractors":[]},{"sentence":"Jane sleeps in the _ .","translation":"Jana spí v *ložnici*.","solution":["bedroom"],"distractors":[]},{"sentence":"The _ is too hard for sleeping.","translation":"Ten *polštář* je na spaní moc tvrdý.","solution":["pillow"],"distractors":[]},{"sentence":"The _ is hanging from the ceiling.","translation":"*Lampa* visí se stropu.","solution":["lamp"],"distractors":[]}]};;;;1;2019-06-06 14:05:00
16;{"sentences":[{"sentence":"He was so tired that he fell asleep in the _ .","translation":"Byl tak unavený, že usnul v *křesle*.","solution":["armchair"],"distractors":[]},{"sentence":"Close the _ , please.","translation":"Zavři *dveře*, prosím.","solution":["door"],"distractors":[]},{"sentence":"I lost my _ .","translation":"Ztratil jsem svůj *klíč*.","solution":["key"],"distractors":[]},{"sentence":"He changed his _ .","translation":"Změnil *adresu*.","solution":["address"],"distractors":[]},{"sentence":"Tom is building a _ .","translation":"Tom staví *zeď*.","solution":["wall"],"distractors":[]}]};;;;1;2019-06-06 14:05:00
17;{"sentences":[{"sentence":"The _ wakes up his wife.","translation":"*Manžel* budí svou manželku.","solution":["husband"],"distractors":[]},{"sentence":"My _ has three children.","translation":"Moje *teta* má tři děti.","solution":["aunt"],"distractors":[]},{"sentence":"The _ is learning quickly.","translation":"*Dítě* se učí rychle.","solution":["child"],"distractors":[]}]};;;;1;2019-06-06 14:05:57
18;{"sentences":[{"sentence":"My younger _ watches TV.","translation":"Můj mladší *bratr* se dívá na televizi.","solution":["brother"],"distractors":[]},{"sentence":"What is your _ ?","translation":"Kolik ti je let? (Jaký je tvůj *věk*?)","solution":["age"],"distractors":[]},{"sentence":"Our _ cannot talk yet.","translation":"Naše *dítě* ještě neumí mluvit.","solution":["baby"],"distractors":[]},{"sentence":"She visited her aunt and _ .","translation":"Navštívila svou tetu a *strýce*.","solution":["uncle"],"distractors":[]}]};;;;1;2019-06-06 14:05:57
19;{"sentences":[{"sentence":"My _ will prepare breakfast.","translation":"Moje *sestra* připraví snídani.","solution":["sister"],"distractors":[]},{"sentence":"I have a large _ .","translation":"Mám velkou *rodinu*.","solution":["family"],"distractors":[]},{"sentence":"Tom is our _ .","translation":"Tom je náš *host*.","solution":["guest"],"distractors":[]},{"sentence":"You're a kind _ .","translation":"Jsi laskavá *osoba*.","solution":["person"],"distractors":[]},{"sentence":"Mary is a very busy _ .","translation":"Mary je velmi zaneprázdněná *žena*.","solution":["woman"],"distractors":[]}]};;;;1;2019-06-06 14:05:57
20;{"sentences":[{"sentence":"Are you _ ?","translation":"Jsi *ženatý*?","solution":["married"],"distractors":[]},{"sentence":"Mary comes from a good _ .","translation":"Marie je z dobré *rodiny*.","solution":["family"],"distractors":[]},{"sentence":"Do you remember your _ ?","translation":"Vzpomínáš si na svého *dědečka*?","solution":["grandfather"],"distractors":[]},{"sentence":"How is your _ pronounced?","translation":"Jak se *vyslovuje* tvé příjmení?","solution":["surname"],"distractors":[]}]};;;;1;2019-06-06 14:05:57
21;{"sentences":[{"sentence":"My older _ is a teacher.","translation":"Můj starší *bratr* je učitel.","solution":["brother"],"distractors":[]},{"sentence":"Many _ were there.","translation":"Bylo tam hodně *lidí*.","solution":["people"],"distractors":[]},{"sentence":"Write your _ .","translation":"Napiš své *jméno*.","solution":["name"],"distractors":[]},{"sentence":"He is a childhood _ .","translation":"Je to *přítel* z dětství.","solution":["friend"],"distractors":[]}]};;;;1;2019-06-06 14:05:57
22;{"sentences":[{"sentence":"What does your _ do?","translation":"Co dělá tvůj *otec*?","solution":["father"],"distractors":[]},{"sentence":"He married a rich _ .","translation":"Oženil se s bohatou *dívkou*.","solution":["girl"],"distractors":[]},{"sentence":"Tom was my first _ .","translation":"Tom byl můj první *přítel*.","solution":["boyfriend"],"distractors":[]},{"sentence":"Yes, I have a _ .","translation":"Ano, mám *dceru*.","solution":["daughter"],"distractors":[]}]};;;;1;2019-06-06 14:05:57
