problem,sentence,solutions,fullname,pred,certainty
13,The _ is at the end of the hall.,bathroom,dum-casti-domu-2-uroven,bathroom,10.588113856234463
13,"Tom is in the _ , cutting up some vegetables.",kitchen,dum-casti-domu-2-uroven,kitchen,10.588113856234463
13,He grows tomatoes in the _ .,garden,dum-casti-domu-2-uroven,garden,10.588113856234463
13,The dog is sitting on the _ .,carpet,dum-casti-domu-2-uroven,carpet,10.588113856234463
14,Look at yourself in the _ .,mirror,dum-casti-domu-2-uroven,mirror,17.51879936892579
14,I live on the first _ .,floor,dum-casti-domu-2-uroven,floor,17.51879936892579
14,The teacher sat on the _ .,chair,dum-casti-domu-2-uroven,chair,17.51879936892579
14,He always sings in the _ .,shower,dum-casti-domu-2-uroven,shower,17.51879936892579
15,Mary jumped into the _ .,pool,dum-casti-domu-2-uroven,pool,11.822443876901879
15,Jane sleeps in the _ .,bedroom,dum-casti-domu-2-uroven,bedroom,11.822443876901879
15,The _ is too hard for sleeping.,pillow,dum-casti-domu-2-uroven,pillow,11.822443876901879
15,The _ is hanging from the ceiling.,lamp,dum-casti-domu-2-uroven,lamp,11.822443876901879
16,He was so tired that he fell asleep in the _ .,armchair,dum-casti-domu-2-uroven,armchair,34.8050071786933
16,"Close the _ , please.",door,dum-casti-domu-2-uroven,door,34.8050071786933
16,I lost my _ .,key,dum-casti-domu-2-uroven,key,34.8050071786933
16,He changed his _ .,address,dum-casti-domu-2-uroven,address,34.8050071786933
16,Tom is building a _ .,wall,dum-casti-domu-2-uroven,wall,34.8050071786933
17,The _ wakes up his wife.,husband,rodina-lide-2-uroven,husband,9.22589556279057
17,My _ has three children.,aunt,rodina-lide-2-uroven,aunt,9.22589556279057
17,The _ is learning quickly.,child,rodina-lide-2-uroven,child,9.22589556279057
18,My younger _ watches TV.,brother,rodina-lide-2-uroven,brother,15.09469753770368
18,What is your _ ?,age,rodina-lide-2-uroven,age,15.09469753770368
18,Our _ cannot talk yet.,baby,rodina-lide-2-uroven,baby,15.09469753770368
18,She visited her aunt and _ .,uncle,rodina-lide-2-uroven,uncle,15.09469753770368
19,My _ will prepare breakfast.,sister,rodina-lide-3-uroven,sister,17.957564548511325
19,I have a large _ .,family,rodina-lide-3-uroven,family,17.957564548511325
19,Tom is our _ .,guest,rodina-lide-3-uroven,guest,17.957564548511325
19,You're a kind _ .,person,rodina-lide-3-uroven,person,17.957564548511325
19,Mary is a very busy _ .,woman,rodina-lide-3-uroven,woman,17.957564548511325
20,Are you _ ?,married,rodina-lide-3-uroven,married,23.448171223127762
20,Mary comes from a good _ .,family,rodina-lide-3-uroven,family,23.448171223127762
20,Do you remember your _ ?,grandfather,rodina-lide-3-uroven,grandfather,23.448171223127762
20,How is your _ pronounced?,surname,rodina-lide-3-uroven,surname,23.448171223127762
21,My older _ is a teacher.,brother,rodina-lide-2-uroven,brother,24.597816242390515
21,Many _ were there.,people,rodina-lide-2-uroven,people,24.597816242390515
21,Write your _ .,name,rodina-lide-2-uroven,name,24.597816242390515
21,He is a childhood _ .,friend,rodina-lide-2-uroven,friend,24.597816242390515
22,What does your _ do?,father,rodina-lide-2-uroven,father,12.408797229947385
22,He married a rich _ .,girl,rodina-lide-2-uroven,girl,12.408797229947385
22,Tom was my first _ .,boyfriend,rodina-lide-2-uroven,boyfriend,12.408797229947385
22,"Yes, I have a _ .",daughter,rodina-lide-2-uroven,daughter,12.408797229947385
23,Can I _ in this bed? ,sleep,slovesa-zaklad-1-uroven,sleep,14.161972315036113
23,I would like to _ mineral water.,drink,slovesa-zaklad-1-uroven,drink,14.161972315036113
23,I like to _ fantasy books.,read,slovesa-zaklad-1-uroven,read,14.161972315036113
23,"Please, can you _ the window?",close,slovesa-zaklad-1-uroven,close,14.161972315036113
24,We are going to _ a wall.,build,slovesa-zaklad-2-uroven,build,29.269084623845714
24,I _ a letter.,write,slovesa-zaklad-2-uroven,write,29.269084623845714
24,Do you _ us?,remember,slovesa-zaklad-2-uroven,remember,29.269084623845714
24,The bells started to _ .,ring,slovesa-zaklad-2-uroven,ring,29.269084623845714
24,He made her _ .,cry,slovesa-zaklad-2-uroven,cry,29.269084623845714
25,I want to _ a song.,sing,slovesa-zaklad-3-uroven,sing,14.147421084613761
25,You should _ him.,thank,slovesa-zaklad-3-uroven,thank,14.147421084613761
25,My son still cannot _ .,count,slovesa-zaklad-3-uroven,count,14.147421084613761
25,I'll never _ you.,forget,slovesa-zaklad-3-uroven,forget,14.147421084613761
26,Do you _ alcohol?,drink,slovesa-zaklad-2-uroven,drink,17.506592218348032
26,Cows _ grass.,eat,slovesa-zaklad-2-uroven,eat,17.506592218348032
26,I _ my hands.,wash,slovesa-zaklad-2-uroven,wash,17.506592218348032
26,Do you _ ?,smoke,slovesa-zaklad-2-uroven,smoke,17.506592218348032
27,I _ Tom's company.,enjoy,slovesa-zaklad-2-uroven,enjoy,17.064576581595496
27,I used to _ of him.,dream,slovesa-zaklad-2-uroven,dream,17.064576581595496
27,I _ up early.,wake,slovesa-zaklad-2-uroven,wake,17.064576581595496
28,"Will you _ the door, please?",open,slovesa-zaklad-1-uroven,open,24.108093578934835
