problem,sentence,solutions,fullname,pred,certainty
13,The _ is at the end of the hall.,bathroom,dum-casti-domu-2-uroven,bathroom,0.14648788922536077
13,"Tom is in the _ , cutting up some vegetables.",kitchen,dum-casti-domu-2-uroven,kitchen,0.14648788922536077
13,He grows tomatoes in the _ .,garden,dum-casti-domu-2-uroven,garden,0.14648788922536077
13,The dog is sitting on the _ .,carpet,dum-casti-domu-2-uroven,carpet,0.14648788922536077
14,Look at yourself in the _ .,mirror,dum-casti-domu-2-uroven,mirror,0.3568881587089538
14,I live on the first _ .,floor,dum-casti-domu-2-uroven,floor,0.3568881587089538
14,The teacher sat on the _ .,chair,dum-casti-domu-2-uroven,chair,0.3568881587089538
14,He always sings in the _ .,shower,dum-casti-domu-2-uroven,shower,0.3568881587089538
15,Mary jumped into the _ .,pool,dum-casti-domu-2-uroven,pool,0.13576819506175103
15,Jane sleeps in the _ .,bedroom,dum-casti-domu-2-uroven,bedroom,0.13576819506175103
15,The _ is too hard for sleeping.,pillow,dum-casti-domu-2-uroven,pillow,0.13576819506175103
15,The _ is hanging from the ceiling.,lamp,dum-casti-domu-2-uroven,lamp,0.13576819506175103
16,He was so tired that he fell asleep in the _ .,armchair,dum-casti-domu-2-uroven,armchair,0.09818898971206333
16,"Close the _ , please.",door,dum-casti-domu-2-uroven,door,0.09818898971206333
16,I lost my _ .,key,dum-casti-domu-2-uroven,key,0.09818898971206333
16,He changed his _ .,address,dum-casti-domu-2-uroven,address,0.09818898971206333
16,Tom is building a _ .,wall,dum-casti-domu-2-uroven,wall,0.09818898971206333
17,The _ wakes up his wife.,husband,rodina-lide-2-uroven,husband,0.3633316592695889
17,My _ has three children.,aunt,rodina-lide-2-uroven,aunt,0.3633316592695889
17,The _ is learning quickly.,child,rodina-lide-2-uroven,child,0.3633316592695889
18,My younger _ watches TV.,brother,rodina-lide-2-uroven,brother,0.32120021693239303
18,What is your _ ?,age,rodina-lide-2-uroven,age,0.32120021693239303
18,Our _ cannot talk yet.,baby,rodina-lide-2-uroven,baby,0.32120021693239303
18,She visited her aunt and _ .,uncle,rodina-lide-2-uroven,uncle,0.32120021693239303
19,My _ will prepare breakfast.,sister,rodina-lide-3-uroven,sister,0.08150532321708229
19,I have a large _ .,family,rodina-lide-3-uroven,family,0.08150532321708229
19,Tom is our _ .,guest,rodina-lide-3-uroven,guest,0.08150532321708229
19,You're a kind _ .,person,rodina-lide-3-uroven,person,0.08150532321708229
19,Mary is a very busy _ .,woman,rodina-lide-3-uroven,woman,0.08150532321708229
20,Are you _ ?,married,rodina-lide-3-uroven,married,0.37811156075169206
20,Mary comes from a good _ .,family,rodina-lide-3-uroven,family,0.37811156075169206
20,Do you remember your _ ?,grandfather,rodina-lide-3-uroven,grandfather,0.37811156075169206
20,How is your _ pronounced?,surname,rodina-lide-3-uroven,surname,0.37811156075169206
21,My older _ is a teacher.,brother,rodina-lide-2-uroven,brother,0.5597067154808594
21,Many _ were there.,people,rodina-lide-2-uroven,people,0.5597067154808594
21,Write your _ .,name,rodina-lide-2-uroven,name,0.5597067154808594
21,He is a childhood _ .,friend,rodina-lide-2-uroven,friend,0.5597067154808594
22,What does your _ do?,father,rodina-lide-2-uroven,father,0.14216560529261615
22,He married a rich _ .,girl,rodina-lide-2-uroven,girl,0.14216560529261615
22,Tom was my first _ .,boyfriend,rodina-lide-2-uroven,boyfriend,0.14216560529261615
22,"Yes, I have a _ .",daughter,rodina-lide-2-uroven,daughter,0.14216560529261615
23,Can I _ in this bed? ,sleep,slovesa-zaklad-1-uroven,sleep,0.45802042854148456
23,I would like to _ mineral water.,drink,slovesa-zaklad-1-uroven,drink,0.45802042854148456
23,I like to _ fantasy books.,read,slovesa-zaklad-1-uroven,read,0.45802042854148456
23,"Please, can you _ the window?",close,slovesa-zaklad-1-uroven,close,0.45802042854148456
24,We are going to _ a wall.,build,slovesa-zaklad-2-uroven,build,0.3309694046586296
24,I _ a letter.,write,slovesa-zaklad-2-uroven,write,0.3309694046586296
24,Do you _ us?,remember,slovesa-zaklad-2-uroven,remember,0.3309694046586296
24,The bells started to _ .,ring,slovesa-zaklad-2-uroven,ring,0.3309694046586296
24,He made her _ .,cry,slovesa-zaklad-2-uroven,cry,0.3309694046586296
25,I want to _ a song.,sing,slovesa-zaklad-3-uroven,sing,0.24181506096452793
25,You should _ him.,thank,slovesa-zaklad-3-uroven,thank,0.24181506096452793
25,My son still cannot _ .,count,slovesa-zaklad-3-uroven,count,0.24181506096452793
25,I'll never _ you.,forget,slovesa-zaklad-3-uroven,forget,0.24181506096452793
26,Do you _ alcohol?,drink,slovesa-zaklad-2-uroven,drink,0.3536694726215973
26,Cows _ grass.,eat,slovesa-zaklad-2-uroven,eat,0.3536694726215973
26,I _ my hands.,wash,slovesa-zaklad-2-uroven,wash,0.3536694726215973
26,Do you _ ?,smoke,slovesa-zaklad-2-uroven,smoke,0.3536694726215973
27,I _ Tom's company.,enjoy,slovesa-zaklad-2-uroven,enjoy,0.8454389785723806
27,I used to _ of him.,dream,slovesa-zaklad-2-uroven,dream,0.8454389785723806
27,I _ up early.,wake,slovesa-zaklad-2-uroven,wake,0.8454389785723806
28,"Will you _ the door, please?",open,slovesa-zaklad-1-uroven,open,0.26410388464169804
28,Can I _ you a question?,ask,slovesa-zaklad-1-uroven,ask,0.26410388464169804
28,She will _ the pizza.,eat,slovesa-zaklad-1-uroven,eat,0.26410388464169804
28,Do you want to _  a picture for me?,paint,slovesa-zaklad-1-uroven,paint,0.26410388464169804
28,We will _ to Africa.,travel,slovesa-zaklad-1-uroven,travel,0.26410388464169804
29,I am tired. I should go to _ .,sleep,slovesa-zaklad-2-uroven,sleep,0.233596559122604
29,What can you _ on the picture?,see,slovesa-zaklad-2-uroven,see,0.233596559122604
29,They _ a new car.,want,slovesa-zaklad-2-uroven,want,0.233596559122604
29,She will _ me a letter.,send,slovesa-zaklad-2-uroven,send,0.233596559122604
29,"Please, _ for five minutes.",wait,slovesa-zaklad-2-uroven,wait,0.233596559122604
30,Do you _ any help?,need,slovesa-zaklad-2-uroven,need,0.4340517085378784
30,We _ together.,work,slovesa-zaklad-2-uroven,work,0.4340517085378784
30,I can _ the bag.,take,slovesa-zaklad-2-uroven,take,0.4340517085378784
30,You _ help me.,must,slovesa-zaklad-2-uroven,must,0.4340517085378784
