id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;created;visible;ordering
71;20;1;8;combined;0;1358, 1357;1358,1357;;163,1346,2001,164,1347,1936,174,1357,1775,175,1358,1776,192,888,1375,1787,172,173,889,1355,1356,1774,2006,252,1511,1512,1657,1658,1749,1763,1838;;medalBased;1;0;;;strilecka-zelenina;{"shootingPs":"1358","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze zeleninu."};0000-00-00 00:00:00;0;0
72;20;1;8;combined;0;1357, 1358;1357,1358;;163,1346,2001,164,1347,1936,174,1357,1775,175,1358,1776,192,888,1375,1787,172,173,889,1355,1356,1774,2006,252,1511,1512,1657,1658,1749,1763,1838;174,1357,1775;medalBased;1;0;;;strilecka-ovoce;{"shootingPs":"1357","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze ovoce."};0000-00-00 00:00:00;0;0
73;25;1;8;combined;0;1362, 1384, 1376;1362,1384,1376;;77,78,2076,2258,2611,2075,2256,2507,1919,1942,1981,2069,2285,2609,2267,2081,2525,2587,2592,2597;2507;medalBased;1;6;;;strilecka-obleceni;{"shootingPs":"1362","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze oblečení."};0000-00-00 00:00:00;1;0
74;18;1;8;combined;0;1351, 1354, 1345;1351,1354,1345;;219,906,1402,1809,1016,167,1350,2004,2506;;medalBased;1;7;;;strilecka-ptaci;{"shootingPs":"1351","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze ptáky."};0000-00-00 00:00:00;1;0
75;160;1;8;combined;0;1353, 1357, 1356;1353,1357,1356;;2085,2090,2094,2304,2086,2091,2095,2305,251,1509,1655,1837,1898,2219,2231;1509,1655,1837,1898,2219,2231;medalBased;1;5;;;strilecka-zvirata;{"shootingPs":"1353","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze zvířata."};0000-00-00 00:00:00;1;0
76;11;1;8;combined;1;1343, 1345, 1348, 1975;1343,1345,1348,1975;;920,185,903,1785,186,2008,162,1771,2242,163,2001,2243,1714;;medalBased;1;4;;;strilecka-cisla;{"shootingPs":"1345","maxLevel":"4","slowingFactor":"1","diffRatio":"85","instructions":"Střílejte prosím pouze čísla."};0000-00-00 00:00:00;1;0
77;24;1;8;combined;0;1364, 1360, 1377, 1357;1364,1360,1377,1357;;73,78,2218,179,1362,1780,2215,177,1360,1778,2254,194,1377,1789,1513,1659,1717,1764,2082;2218;medalBased;1;5;;;strilecka-lidske-telo;{"shootingPs":"1364","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze části lidského těla."};0000-00-00 00:00:00;1;0
78;27;1;8;combined;0;1361, 1359, 1377;1361,1359,1377;;77,73,2076,2258,2611,2075,2256,2507,1919,1942,1981,2069,2285,2609,2267,2081,2525,2587,2592,2597;2609;medalBased;1;6;;;strilecka-povolani;{"shootingPs":"1361","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze povolání."};0000-00-00 00:00:00;1;0
79;29;1;8;combined;0;1378, 1360, 1367, 1349;1378,1360,1367,1349;;2608,178,1361,1779,2210,2255,1514,1660,1718,1839,2051,2056,2061,2239;;medalBased;1;8;;;strilecka-pocity;{"shootingPs":"1378","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze pocity a nálady."};0000-00-00 00:00:00;1;0
80;55;1;8;combined;0;1383, 1440, 1439;1383,1440,1439;;858,1405,1811,2274,2208,2098,2099,2100,2308;;medalBased;1;7;;;strilecka-pridavna-jmena;{"shootingPs":"1383","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze přídavná jména."};0000-00-00 00:00:00;1;0
81;22;1;8;combined;0;1375, 1355, 1363, 1362;1375,1355,1363,1362;;2508,192,888,1375,1787,2212,1974,1993,2034,2073,2295;;medalBased;1;7;;;strilecka-kytky-a-stromy;{"shootingPs":"1375","maxLevel":"4","slowingFactor":"2","diffRatio":"85","instructions":"Střílejte prosím pouze kytky a stromy."};0000-00-00 00:00:00;1;0
83;95;1;9;basic;0;;933;;933,1459,1461,1746,353,928,411,1886,2517,2626,2514;;medalBased;1;8;;;tetris-nepravidelna-slovesa;{"levels":[{"categories":["base_form","past_simple","past_participle"]},{"categories":["base_form","past_simple","past_participle"]},{"categories":["base_form","past_simple","past_participle"]},{"categories":["base_form","past_simple","past_participle"]}],"maxLevel":"4","slowingFactor":"2"};0000-00-00 00:00:00;1;0
84;122;1;9;basic;0;;85;;394,1870,931,343,1747,375,376,1480;;medalBased;1;10;;;tetris-stupnovani-prislovce;{"levels":[{"categories":["adverb_1_stupen","adverb_2_stupen","adverb_3_stupen"]},{"categories":["adverb_1_stupen","adverb_2_stupen","adverb_3_stupen"]},{"categories":["adverb_1_stupen","adverb_2_stupen","adverb_3_stupen"]},{"categories":["adverb_1_stupen","adverb_2_stupen","adverb_3_stupen"]}],"maxLevel":"4","slowingFactor":"2"};0000-00-00 00:00:00;1;0
85;123;1;9;basic;0;;;84;1476,839,1869,375,376,1480;;medalBased;1;7;;;tetris-stupnovani-pridavna-jmena;{"levels":[{"categories":["adjective_1_stupen","adjective_2_stupen","adjective_3_stupen"]},{"categories":["adjective_1_stupen","adjective_2_stupen","adjective_3_stupen"]},{"categories":["adjective_1_stupen","adjective_2_stupen","adjective_3_stupen"]},{"categories":["adjective_1_stupen","adjective_2_stupen","adjective_3_stupen"]}],"maxLevel":"4","slowingFactor":"2"};0000-00-00 00:00:00;1;0
86;95;1;11;basic;0;;960;;960,974;;medalBased;2;0;;[[["text","forsake"]],[["text","mow"]],[["text","overthrow"]]];rozrazovacka-nepravidelna-slovesa-2-uroven;{"categories":["base_form","past_simple","past_participle"]};0000-00-00 00:00:00;1;0
87;122;1;11;basic;0;;88;;88,982;;medalBased;2;0;;[[["text","most beautiful"]],[["text","most pleasant"]],[["text","narrower"]]];rozrazovacka-stupnovani-prislovce-2-uroven;{"categories":["adverb_1_stupen","adverb_2_stupen","adverb_3_stupen"]};0000-00-00 00:00:00;1;0
88;123;1;11;basic;0;;;87;87,982;;medalBased;2;0;;[[["text","shyer"]],[["text","few"]],[["text","younger"]]];rozrazovacka-stupnovani-pridavna-jmena-2-uroven;{"categories":["adjective_1_stupen","adjective_2_stupen","adjective_3_stupen"]};0000-00-00 00:00:00;1;0
160;10;1;19;combined;0;1343;2108,2240;;185,186,161,162,163,1343,2108,2240,1344,2000,2241;1343,2108,2240;medalBased;1;3;;[[["text","silver"]],[["img","img\/slovicka\/grey.jpg"]],[["img","img\/slovicka\/white.jpg"]]];slovicka-colors-1-uroven;;0000-00-00 00:00:00;1;0
161;11;1;19;combined;0;1344;2000,2241;162;162,185,186,160,163,1343,2108,2240,1344,2000,2241;1344,2000,2241;medalBased;1;3;;[[["img","img\/slovicka\/Sixty.png"]],[["img","img\/slovicka\/thirteen.jpg"]],[["img","img\/slovicka\/twelve.jpg"]]];slovicka-numbers-1-uroven;;0000-00-00 00:00:00;1;0
162;11;1;19;combined;0;1345;1771,2242,161;;161,185,186,160,163,164,1653,903,1785,2008,76,1771,2242,2001,2243,1714;1771,2242;medalBased;2;4;;[[["img","img\/slovicka\/Eighty.png"]],[["img","img\/slovicka\/Seventy-three.png"]],[["text","second"]]];slovicka-numbers-2-uroven;;0000-00-00 00:00:00;1;0
163;12;1;19;combined;0;1346;2001,2243;;185,186,160,161,162,164,1653,903,1785,2008,76,1771,2242,2001,2243,1714;2001,2243;medalBased;1;4;;[[["text","July"]],[["text","August"]],[["text","October"]]];slovicka-time_months-1-uroven;;0000-00-00 00:00:00;1;0
164;13;1;19;combined;0;1347;1936,2244;;185,1041,186,221,162,163,165,1653,1654,920,1368,2217,1369,2216,2261,1345,1346,1347,1936,2244,1507,1761,2331;1347,1936,2244;medalBased;1;5;;[[["text","second"]],[["text","time"]],[["text","Sunday"]]];slovicka-time_other-1-uroven;;0000-00-00 00:00:00;1;0
