id;ps;problem
1;34;1682
2;34;2431
3;34;1673
4;34;1677
5;34;1725
6;34;1676
7;34;2430
8;34;4058
9;34;4056
10;34;1692
11;34;1726
12;34;2436
13;34;2427
14;34;1691
15;34;1696
16;34;4055
17;34;1680
18;34;1699
19;34;1684
20;34;1678
21;34;1681
22;34;2433
23;34;1697
24;34;1683
25;34;1674
26;34;1795
27;34;1701
28;34;1700
29;34;2432
30;34;1688
31;34;1695
32;34;4060
33;34;2428
34;34;2435
35;34;1694
36;34;1675
37;34;1702
38;34;1805
39;34;2429
40;34;1808
41;34;1798
42;34;1679
43;34;2434
44;34;4059
45;34;1790
46;60;3135
47;60;3136
48;60;3140
49;60;3143
50;60;3122
51;60;3120
52;60;3118
53;60;3132
54;60;3134
55;60;3139
56;60;3131
57;60;3137
58;60;3127
59;60;3128
60;60;3121
61;60;3124
62;60;3133
63;60;3130
64;60;3142
65;60;3126
66;60;3125
67;60;3129
68;60;3138
69;60;3141
70;60;3119
71;60;3123
72;48;3094
73;48;3033
74;48;3096
75;48;3038
76;48;3044
77;48;3090
78;48;3079
79;48;3069
80;48;3084
81;48;3047
82;48;3085
83;48;3092
84;48;3032
85;48;3086
86;48;3076
87;48;3095
88;48;3048
89;48;3097
90;48;3077
91;48;3091
92;48;3078
93;48;3093
94;48;3072
95;48;3063
96;48;3083
97;48;3099
98;48;3050
99;48;3040
100;48;3034
101;48;3089
102;48;3087
103;48;3100
104;48;3074
105;48;3088
106;48;3070
107;48;3071
108;48;3065
109;48;3073
110;48;3098
111;48;3062
112;48;3064
113;48;2987
114;48;2904
115;48;2975
116;48;2962
117;48;3000
118;48;2990
119;48;2895
120;48;3057
121;48;3060
122;48;3052
123;48;3054
124;48;3053
125;48;3051
126;48;3055
127;48;2982
128;63;3487
129;63;3491
130;63;3482
131;63;3488
132;63;3486
133;63;3481
134;63;3480
135;63;3499
136;63;3498
137;63;3479
138;63;3492
139;63;3476
140;63;3500
141;63;3483
142;63;3489
143;63;3468
144;63;3503
145;63;3496
146;63;3414
147;63;3493
148;63;3474
149;63;3477
150;63;3469
151;63;3495
152;63;3484
153;63;3502
154;63;3415
155;63;3478
156;63;3471
157;63;3485
158;63;3470
159;63;3473
160;63;3472
161;51;3320
162;51;3359
163;51;3338
164;51;3350
165;51;3353
166;51;3340
167;51;3358
168;51;3333
169;51;3336
170;51;3355
171;51;3332
172;51;3352
173;51;3346
174;51;3348
175;51;3335
176;51;3356
177;51;3339
178;51;3344
179;51;3343
180;51;3345
181;51;3342
182;51;3354
183;51;3334
184;51;3337
185;51;3349
186;51;3361
187;51;3330
188;51;3357
189;51;3351
190;51;3341
191;51;3331
192;51;3363
193;51;3362
194;51;3360
195;49;3247
196;50;3252
197;50;3266
198;49;3268
199;50;3239
200;50;3278
201;50;3270
202;49;3224
203;49;3284
204;49;3256
205;49;3253
206;50;3277
207;49;3318
208;49;3261
209;49;3230
210;49;3229
211;49;3227
212;49;3295
213;50;3248
214;49;3275
215;49;3237
216;49;3273
217;49;3226
218;49;3255
219;49;3285
220;49;3311
221;49;3254
222;49;3286
223;49;3315
224;49;3238
225;49;3236
226;49;3305
227;49;3316
228;49;3294
229;49;3257
230;49;3251
231;49;3272
232;49;3276
233;49;3221
234;49;3228
235;49;3297
236;49;3235
237;49;3314
238;49;3274
239;49;3301
240;49;3304
241;49;3225
242;49;3298
243;50;3289
244;50;3309
245;50;3244
246;50;3306
247;50;3222
248;50;3258
249;50;3307
250;50;3310
251;50;3283
252;50;3326
253;50;3262
254;50;3245
255;50;3223
256;50;3299
257;50;3288
258;50;3267
259;50;3233
260;50;3269
261;50;3260
262;50;3287
263;50;3232
264;50;3241
265;50;3302
266;50;3296
267;50;3259
268;50;3290
269;50;3281
270;50;3280
271;50;3279
272;50;3242
273;50;3243
274;50;3303
275;50;3240
276;50;3317
277;50;3293
278;50;3282
279;50;3234
280;24;1307
281;24;1270
282;24;4001
283;24;1252
284;24;1227
285;24;1220
286;24;1310
287;24;1231
288;24;1223
289;24;1311
290;24;4004
291;24;1278
292;24;1274
293;24;4005
294;24;1268
295;24;1234
296;24;1264
297;24;1235
298;24;1224
299;24;1249
300;24;1233
301;24;1236
302;24;1271
303;24;1316
304;24;1258
305;24;1215
306;24;1230
307;24;1219
308;24;4011
309;24;4000
310;24;1244
311;24;1272
312;24;4015
313;24;1232
314;24;1217
315;24;1221
316;24;1225
317;24;1226
318;24;1306
319;24;1250
320;24;1262
321;24;1229
322;24;1299
323;24;1254
324;24;4008
325;24;1275
326;24;1263
327;24;1309
328;24;1312
329;25;1216
330;25;4007
331;25;1256
332;25;1322
333;25;1265
334;25;1279
335;25;1319
336;25;1218
337;25;4006
338;25;1303
339;25;1288
340;25;1253
341;25;1269
342;25;1238
343;25;1300
344;25;1267
345;25;1240
346;25;1260
347;25;1273
348;25;1228
349;25;1241
350;25;1222
351;25;1259
352;25;1304
353;25;1313
354;25;1251
355;25;1257
356;25;1243
357;25;1247
358;25;1266
359;25;1242
360;25;1305
361;25;4003
362;25;4002
363;25;1261
364;25;1248
365;25;1255
366;25;1308
367;25;1239
368;25;1237
369;25;1246
370;40;2855
371;40;3003
372;40;2901
373;40;2872
374;40;2858
375;40;2857
376;40;2927
377;40;2932
378;40;2968
379;40;2978
380;40;2867
381;40;2943
382;40;2988
383;40;2859
384;40;3007
385;40;2923
386;40;2868
387;40;3005
388;40;2876
389;40;2863
390;40;2849
391;40;2958
392;40;2951
393;40;3006
394;40;2961
395;40;3004
396;40;2966
397;40;2938
398;40;2972
399;40;2983
400;40;3019
401;40;2995
402;40;2869
403;40;2845
404;27;3115
405;27;3116
406;27;3106
407;27;3107
408;17;1590
409;17;1651
410;16;1657
411;17;1499
412;16;1477
413;16;1493
414;17;1478
415;16;1652
416;17;1497
417;16;1518
418;16;1476
419;16;1509
420;16;1486
421;17;1589
422;17;1669
423;16;1556
424;16;1479
425;16;1525
426;16;1496
427;16;1665
428;16;1495
429;16;1560
430;16;1564
431;16;1663
432;16;1498
433;16;1664
434;16;1484
435;16;1524
436;16;1557
437;16;1554
438;16;1601
439;16;1553
440;17;1508
441;17;1505
442;18;1459
443;17;1511
444;18;1452
445;17;1639
446;18;1489
447;17;1523
448;17;1559
449;17;1467
450;18;1474
451;18;1462
452;17;1464
453;17;1507
454;18;1503
455;18;1501
456;17;1519
457;16;1510
458;17;1584
459;17;1491
460;17;1494
461;18;1458
462;17;1492
463;17;1529
464;17;1504
465;18;1530
466;17;1463
467;17;1451
