id;success_rate;answer_count;median_response_time
239;0.762838709677;3875;21925
317;0.765472312704;3684;21875
322;0.786504723347;3705;21000
221;0.792223873205;4038;19550
183;0.798315282792;4155;20600
185;0.808875322846;4259;18950
224;0.810892586989;3966;20750
186;0.81165377176;4136;21550
318;0.816855753647;3702;20400
187;0.823963792282;4198;23400
181;0.824946846208;4233;16425
320;0.826321467098;3708;19200
321;0.829726205997;3835;16150
182;0.834396409166;4233;19100
184;0.842080817464;4306;20950
325;0.844456404736;3716;19850
219;0.850668647845;4038;17150
319;0.864958633574;3747;16600
326;0.866595231717;3733;19200
40;0.538919186911;2017;28700
22;0.568390526825;2069;35825
412;0.58480565371;1698;46850
231;0.636555731643;1893;39650
229;0.64476386037;1948;37325
180;0.661051907872;2909;23800
230;0.706589958159;1912;34500
223;0.724090909091;2200;15100
323;0.727578947368;2375;27250
324;0.735530207013;2367;25300
227;0.739989599584;1923;33950
222;0.748037383178;2675;17550
21;0.752840909091;2112;23225
232;0.7738336714;1972;38900
17;0.776635514019;2140;20850
18;0.778411792677;2103;22650
226;0.785405405405;1850;32550
228;0.795243019648;1934;28150
408;0.454739084132;939;50850
404;0.51929092805;959;49775
240;0.52052545156;1218;32125
220;0.539952996475;1702;15300
19;0.547376664056;1277;31800
20;0.561777236762;1643;21700
405;0.574468085106;987;47100
406;0.60824742268;970;45250
403;0.612033195021;964;37075
402;0.630192502533;987;46125
398;0.637985309549;953;38500
399;0.639260020555;973;44725
400;0.696058091286;964;35150
407;0.719665271967;956;41650
411;0.747643979058;955;33400
409;0.793203883495;1030;27250
410;0.864838393732;1021;33100
401;0.866331658291;995;32625
259;0.724865535788;2417;18350
265;0.728358208955;2345;19675
206;0.738066095471;2451;19000
261;0.742561983471;2420;18100
263;0.748254799302;2292;22150
207;0.750821018062;2436;20300
604;0.778378378378;185;22875
596;0.799065420561;214;17850
266;0.800419287212;2385;21300
601;0.80829015544;193;16175
606;0.810810810811;185;21125
204;0.81273724167;2371;19600
602;0.814814814815;189;24400
605;0.854748603352;179;21800
594;0.876288659794;194;17525
598;0.877005347594;187;14350
595;0.885416666667;192;17800
593;0.889473684211;190;19200
600;0.893939393939;198;13150
71;0.545663852648;1303;34450
270;0.6008;1250;30000
272;0.624084621644;1229;31050
364;0.635794743429;799;41025
264;0.647680563711;1703;21750
209;0.667800935772;2351;25100
267;0.674920127796;1252;30500
210;0.677634319034;2401;25550
74;0.691254752852;1315;27650
365;0.693739424704;591;28100
208;0.698607007176;2369;21800
607;0.704402515723;159;21725
260;0.705100728676;2333;25100
362;0.706155632985;861;30650
205;0.713399503722;2418;20450
262;0.72488342518;2359;18850
357;0.733021077283;854;31350
73;0.76565954311;1357;25500
597;0.768707482993;147;15200
687;0.9;120;17725
75;0.454545454545;1243;32400
268;0.471014492754;1104;38975
269;0.477344573235;949;25050
271;0.513966480447;895;29450
274;0.518281535649;1094;36400
273;0.527415143603;1149;33450
358;0.535185185185;540;30200
356;0.566539923954;526;35250
355;0.570057581574;521;33900
360;0.572277227723;505;37700
603;0.581081081081;74;19500
354;0.673076923077;520;34750
353;0.682879377432;514;28900
361;0.688888888889;540;27975
366;0.697841726619;556;32150
359;0.702702702703;518;31325
363;0.71676300578;519;28550
352;0.725897920605;529;33525
413;0.660668380463;1167;21850
295;0.671849427169;1222;20700
292;0.688163265306;1225;23450
294;0.706840390879;1228;23100
421;0.724738675958;1148;23075
416;0.754028837998;1179;20150
417;0.762243989314;1123;23600
293;0.76935483871;1240;21950
418;0.808529155788;1149;20250
422;0.831783601014;1183;21175
291;0.836261980831;1252;22100
300;0.86171875;1280;18650
296;0.863782051282;1248;18975
297;0.868525896414;1255;18000
414;0.885860306644;1174;18800
299;0.905814905815;1221;16725
419;0.916878710772;1179;16300
298;0.91754244139;1237;16650
415;0.920353982301;1130;16150
305;0.537610619469;452;37850
420;0.622605363985;1044;24800
