problem,sentence,solutions,fullname,pred
13,The _ is at the end of the hall.,bathroom,dum-casti-domu-2-uroven,bathroom
13,"Tom is in the _ , cutting up some vegetables.",kitchen,dum-casti-domu-2-uroven,kitchen
13,He grows tomatoes in the _ .,garden,dum-casti-domu-2-uroven,garden
13,The dog is sitting on the _ .,carpet,dum-casti-domu-2-uroven,carpet
14,Look at yourself in the _ .,mirror,dum-casti-domu-2-uroven,mirror
14,I live on the first _ .,floor,dum-casti-domu-2-uroven,floor
14,The teacher sat on the _ .,chair,dum-casti-domu-2-uroven,chair
14,He always sings in the _ .,shower,dum-casti-domu-2-uroven,shower
15,Mary jumped into the _ .,pool,dum-casti-domu-2-uroven,pool
15,Jane sleeps in the _ .,bedroom,dum-casti-domu-2-uroven,bedroom
15,The _ is too hard for sleeping.,pillow,dum-casti-domu-2-uroven,pillow
15,The _ is hanging from the ceiling.,lamp,dum-casti-domu-2-uroven,lamp
16,He was so tired that he fell asleep in the _ .,armchair,dum-casti-domu-2-uroven,armchair
16,"Close the _ , please.",door,dum-casti-domu-2-uroven,door
16,I lost my _ .,key,dum-casti-domu-2-uroven,key
16,He changed his _ .,address,dum-casti-domu-2-uroven,address
16,Tom is building a _ .,wall,dum-casti-domu-2-uroven,wall
17,The _ wakes up his wife.,husband,rodina-lide-2-uroven,aunt
17,My _ has three children.,aunt,rodina-lide-2-uroven,husband
17,The _ is learning quickly.,child,rodina-lide-2-uroven,child
18,My younger _ watches TV.,brother,rodina-lide-2-uroven,brother
18,What is your _ ?,age,rodina-lide-2-uroven,age
18,Our _ cannot talk yet.,baby,rodina-lide-2-uroven,baby
18,She visited her aunt and _ .,uncle,rodina-lide-2-uroven,uncle
19,My _ will prepare breakfast.,sister,rodina-lide-3-uroven,sister
19,I have a large _ .,family,rodina-lide-3-uroven,family
19,Tom is our _ .,guest,rodina-lide-3-uroven,guest
19,You're a kind _ .,person,rodina-lide-3-uroven,woman
19,Mary is a very busy _ .,woman,rodina-lide-3-uroven,person
20,Are you _ ?,married,rodina-lide-3-uroven,married
