id;ps;problem
385;28;1
386;28;2
387;28;3
388;28;4
389;5;5
390;4;6
391;5;7
392;5;8
393;5;9
394;5;10
395;5;11
396;6;12
397;6;13
398;6;14
399;5;15
400;5;16
401;6;17
402;6;18
403;7;19
404;5;20
405;5;21
406;28;22
407;5;23
408;7;24
409;7;25
410;6;26
411;6;27
412;6;28
413;7;29
414;7;30
415;6;31
416;7;32
417;5;33
418;6;34
419;5;35
420;6;36
421;7;37
422;6;38
423;5;39
424;6;40
425;6;41
426;7;42
427;5;43
428;6;44
429;6;45
430;7;46
431;5;47
432;6;48
433;7;49
434;7;50
435;6;51
436;4;52
437;7;53
438;5;54
439;7;55
440;6;56
441;7;57
442;7;58
443;5;59
444;7;60
445;4;61
446;4;62
447;5;63
448;5;64
449;5;65
450;4;66
451;6;67
452;4;68
453;7;69
454;5;70
455;6;71
456;7;72
457;7;73
458;5;74
459;4;75
460;4;76
461;5;77
462;4;78
508;52;1
509;12;2
510;52;3
511;10;4
512;10;5
513;9;6
514;12;7
515;11;8
516;11;9
517;11;10
518;11;11
519;11;12
520;10;13
521;10;14
522;9;15
523;9;16
524;9;17
525;12;18
526;10;19
527;12;20
528;1;1
529;1;2
530;1;3
531;1;4
532;160;5
533;1;6
534;1;7
535;1;8
536;1;9
537;1;10
538;1;11
539;1;12
541;2;14
542;2;15
543;2;16
544;2;17
545;2;18
546;2;19
547;2;20
548;2;21
549;2;22
550;2;23
551;3;24
552;3;25
553;3;26
554;3;27
555;3;28
556;3;29
557;3;30
558;3;31
559;3;32
560;3;33
561;3;34
562;3;35
564;13;37
565;13;38
566;13;39
567;13;40
568;13;41
569;13;42
570;13;43
571;13;44
572;13;45
573;13;46
574;15;47
575;15;48
576;13;49
577;13;50
578;13;51
579;2;52
580;12;21
581;155;22
582;12;23
583;9;24
584;17;53
585;17;54
586;17;55
587;17;56
588;17;57
589;17;58
590;17;59
591;17;60
592;17;61
593;17;62
594;17;63
595;17;64
596;17;65
597;17;66
598;17;67
599;17;68
600;15;69
601;15;70
602;15;71
603;15;72
604;15;73
605;15;74
606;15;75
607;15;76
608;15;77
609;15;78
610;13;79
611;15;80
612;15;81
613;15;82
614;15;83
615;15;84
616;14;85
617;14;86
618;14;87
619;14;88
620;14;89
621;14;90
622;14;91
623;161;92
624;161;93
625;161;94
626;14;95
627;161;96
628;14;97
629;161;98
630;161;99
631;14;100
632;161;101
633;16;102
634;16;103
635;16;104
636;16;105
637;16;106
638;16;107
639;16;108
640;16;109
641;16;110
642;16;111
643;16;112
644;16;113
645;16;114
646;16;115
647;16;116
648;10;25
649;10;26
650;10;27
651;155;28
652;9;29
653;155;30
654;9;31
655;50;32
656;50;33
657;18;34
658;29;1
659;19;2
660;20;3
661;19;4
662;19;5
663;19;6
664;29;7
665;29;8
666;29;9
667;29;10
668;21;11
669;21;12
670;19;13
671;20;14
672;29;15
673;30;16
674;30;17
675;30;18
676;23;19
677;23;20
678;21;21
679;19;22
680;19;23
681;30;24
682;30;25
683;67;26
684;21;27
685;30;28
686;20;29
687;30;30
688;20;31
689;30;32
690;30;33
691;29;34
692;29;35
693;67;36
694;67;37
695;19;38
696;19;39
697;19;40
698;23;41
699;23;42
700;23;43
701;21;44
702;23;45
703;21;46
704;30;47
705;30;48
706;30;49
707;30;50
708;29;51
709;19;52
710;19;53
711;19;54
712;19;55
713;20;56
715;25;0
716;25;1
718;25;3
719;25;4
720;25;5
721;25;6
722;25;7
723;25;8
724;25;9
725;25;10
726;26;11
727;26;12
728;26;13
729;26;14
730;26;15
731;26;16
732;26;17
733;26;18
734;26;19
735;26;20
736;26;21
737;26;22
740;33;35
741;33;36
742;33;37
743;33;38
744;155;39
745;31;117
746;31;118
747;31;119
748;31;120
749;31;121
750;31;122
751;31;123
752;31;124
753;31;125
754;31;126
755;31;127
756;31;128
757;32;129
758;32;130
759;32;131
760;32;132
761;32;133
762;32;134
763;32;135
764;32;136
765;32;137
766;32;138
767;32;139
768;32;140
769;32;141
770;32;142
771;32;143
773;69;2
774;4;79
775;4;80
776;4;81
777;4;82
778;4;83
779;5;84
780;5;85
781;4;86
782;4;87
783;4;88
785;11;40
786;50;41
787;50;42
788;33;43
789;10;44
790;33;45
791;12;46
792;25;25
793;25;26
794;25;27
795;25;28
796;25;29
797;25;30
798;25;31
799;26;32
800;26;33
801;26;34
802;26;35
803;26;36
804;26;37
805;26;38
806;26;39
807;26;40
808;26;41
809;26;42
810;26;43
811;26;44
812;26;45
813;26;46
814;27;47
815;27;48
816;27;49
817;27;50
818;27;51
819;27;52
820;27;53
821;27;54
822;27;55
823;27;56
824;27;57
825;27;58
826;42;3
827;43;4
828;43;5
829;43;6
830;43;7
831;44;8
832;42;9
833;42;10
834;42;11
835;42;12
836;69;13
837;44;14
838;46;15
839;46;16
840;44;17
841;44;18
842;42;19
843;42;20
844;47;21
