id;sentence;sentenceForeign;words;sound;visible;created
1;{"sentences": [{"sentence":"Na palubě je též _ japonského loďstva.","translation":" ","solution":["admirál"], "distractors":[] },{"sentence":"S vlastní ženou jenom chodil do kostela, neděli co neděli, takový _ to byl.","translation":" ","solution":["katolík"], "distractors":[] },{"sentence":"Přes tuto dobrou zkušenost jsem nicméně pořád _ .","translation":" ","solution":["skeptik"], "distractors":[] },{"sentence":"Po návratu nechtěl před ostatními světoběžníky vypadat jako _ .","translation":" ","solution":["outsider"], "distractors":[] }] };;;;1;2019-11-29 12:37:16
4;{"sentences": [{"sentence":"Z tisku jen věděli o divoké demonstraci, při níž zemřel italský _ .","translation":" ","solution":["anarchista"], "distractors":[] },{"sentence":"A proto jsem se po tom maléru v Rusku znovu přihlásil na frontu, ač jsem se jako válečný _ mohl válet ve Vídni ve štábu.","translation":" ","solution":["invalida"], "distractors":[] },{"sentence":"Jako amatérský _ sleduji ptáky v divoké přírodě.","translation":" ","solution":["ornitolog"], "distractors":[] },{"sentence":"Na to nemusí být člověk _ na renesanční umění, aby to poznal.","translation":" ","solution":["expert"], "distractors":[] }] };;;;1;2019-11-29 12:48:51
5;{"sentences": [{"sentence":"Lékař může být skvělý odborník, ale současně úplný _ a bručoun.","translation":" ","solution":["asociál"], "distractors":[] },{"sentence":"Jeden můj přítel ho slyšel před třemi lety mluvit v Mnichově. Je to _ a řečník, z něhož jde strach.","translation":" ","solution":["demagog"], "distractors":[] },{"sentence":"Když se pak _ rozběhl, psi museli počkat na povel a teprve poté jej mohli pronásledovat a zadržet.","translation":" ","solution":["figurant"], "distractors":[] },{"sentence":"Blond vlasy má rozpuštěné, na sobě dlouhé květované šaty po kotníky. Vypadáš jako _ , napadne Malin.","translation":" ","solution":["hippie"], "distractors":[] }] };;;;1;2019-11-29 13:29:02
6;{"sentences": [{"sentence":"Ale _ přece jen potřebuje psací stůl a ticho ke čtení, ne jen věčně poslouchat hulákání opilců hrajících karty na ubytovně.","translation":"","solution":["intelektuál"], "distractors":[] },{"sentence":"Pravý _ je vždy decentní a skromný.","translation":" ","solution":["kavalír"], "distractors":[] },{"sentence":"Každý cizí voják s ostře nabitou zbraní, který vstoupí na cizí území bez pozvání, je _ .","translation":" ","solution":["okupant"], "distractors":[] },{"sentence":"Byl _ , kdežto my ostatní jsme byli všichni katolíci.","translation":" ","solution":["protestant"], "distractors":[] }] };;;;1;2019-11-29 13:29:02
7;{"sentences": [{"sentence":"Cítil jsem se šťastný, stejně jako dobrý _ a výborný přednášející, který s radostí předává svoje vědomosti plachému, ale talentovanému žákovi.","translation":" ","solution":["pedagog"], "distractors":[] },{"sentence":"Co na tom, že její manžel není zrovna _ .","translation":" ","solution":["romantik"], "distractors":[] },{"sentence":"Jeho další přezdívkou bylo kvůli holé hlavě označení první český _ .","translation":" ","solution":["skinhead"], "distractors":[] },{"sentence":"Jedním z nich byl i Bill Cannastra, nechvalně známý _ tohohle baru.","translation":" ","solution":["štamgast"], "distractors":[] },{"sentence":"Klasický _ se pozná podle toho, že říká veřejnosti to, co společnost chce slyšet, a upravuje tím realitu.","translation":" ","solution":["populista"], "distractors":[] }] };;;;1;2019-11-29 13:29:02
8;{"sentences": [{"sentence":" _ zkoumá zákonitosti přírodních jevů.","translation":" ","solution":["Fyzik"], "distractors":[] },{"sentence":" _ kriticky zkoumá skutečnost, svět, člověka i to, co je přesahuje.","translation":" ","solution":["Filozof"], "distractors":[] },{"sentence":" _ daruje čas či peníze na dobročinné účely.","translation":" ","solution":["Filantrop"], "distractors":[] },{"sentence":" _ pomáhá lidem s léčbou pohybového systému.","translation":" ","solution":["Fyzioterapeut"], "distractors":[] }] };;;;1;2019-11-29 13:29:02
9;{"sentences": [{"sentence":" _ je ten, kdo se něčemu věnuje ze záliby, ne z povolání.","translation":" ","solution":["Amatér"], "distractors":[] },{"sentence":" _ má nevyšší hodnost u válečného námořnictva.","translation":" ","solution":["Admirál"], "distractors":[] },{"sentence":" _ odmítá politickou moc a centralizaci.","translation":" ","solution":["Anarchista"], "distractors":[] },{"sentence":" _ je velmi neobyčejně činný ve věcech veřejného života.","translation":" ","solution":["Aktivista"], "distractors":[] }] };;;;1;2019-11-29 13:29:02
10;{"sentences": [{"sentence":" _ vyučuje ve škole.","translation":" ","solution":["Pedagog"], "distractors":[] },{"sentence":" _ prosazuje rychlá a líbívá řešení, které ale nejdou uskutečnit.","translation":" ","solution":["Populista"], "distractors":[] },{"sentence":" _ je věřící patřící do jednoho z hlavních proudů křesťanství.","translation":" ","solution":["Protestant"], "distractors":[] },{"sentence":" _ je evangelický duchovní.","translation":" ","solution":["Pastor"], "distractors":[] }] };;;;1;2019-11-29 13:29:02
11;{"sentences": [{"sentence":" _ je podnikatel, který po pádu komunismu rychle získal obrovský majetek a politický vliv.","translation":" ","solution":["Oligarcha"], "distractors":[] },{"sentence":" _ se odborně zabývá studiem ptáků.","translation":" ","solution":["Ornitolog"], "distractors":[] },{"sentence":" _ je ten, kdo stojí stranou, na okraji zájmu.","translation":" ","solution":["Outsider"], "distractors":[] },{"sentence":" _ je doktor, který léčí zranění pohybového aparátu.","translation":" ","solution":["Ortoped"], "distractors":[] }] };;;;1;2019-11-29 13:29:03
12;{"sentences": [{"sentence":" _ je vzdělaný člověk.","translation":" ","solution":["Intelektuál"], "distractors":[] },{"sentence":" _ je řemeslník, který provádí a udržuje rozvody vody.","translation":" ","solution":["Instalatér"], "distractors":[] },{"sentence":" _ má rád duševní klid a soukromí.","translation":" ","solution":["Introvert"], "distractors":[] },{"sentence":" _ je člověk jednající záludně a nečestně.","translation":" ","solution":["Intrikán"], "distractors":[] }] };;;;1;2019-11-29 13:29:03
