id;ps;problem
1;2;1
2;2;2
3;2;3
4;2;4
5;2;5
6;2;6
7;2;7
8;2;8
9;2;9
10;2;10
11;2;11
12;2;12
13;2;13
14;2;14
15;2;15
16;2;16
17;2;17
18;2;18
19;2;19
20;2;20
21;2;21
22;2;22
23;2;23
24;2;24
25;2;25
26;2;26
27;2;27
28;2;28
29;2;29
30;2;30
31;2;31
32;2;32
33;2;33
34;2;34
35;2;35
36;2;36
37;2;37
38;2;38
39;2;39
40;2;40
41;2;41
42;11;42
43;11;43
44;11;44
45;11;45
46;11;46
47;11;47
48;11;48
49;11;49
50;11;50
51;11;51
52;11;52
53;11;53
54;11;54
55;11;55
56;11;56
57;11;57
58;11;58
59;11;59
60;11;60
61;11;61
62;11;62
63;11;63
64;11;64
65;11;65
66;11;66
67;11;67
68;11;68
69;11;69
70;11;70
71;11;71
72;11;72
73;11;73
74;11;74
75;11;75
76;11;76
77;11;77
78;11;78
79;11;79
80;11;80
81;11;81
82;11;82
83;11;83
84;11;84
85;11;85
86;11;86
87;11;87
88;11;88
89;11;89
90;11;90
91;11;91
92;11;92
93;12;93
94;12;94
95;12;95
96;12;96
97;12;97
98;12;98
99;12;99
100;12;100
101;12;101
102;12;102
103;12;103
104;12;104
105;12;105
106;12;106
107;12;107
108;12;108
109;12;109
110;12;110
111;12;111
112;12;112
113;12;113
114;12;114
115;12;115
116;12;116
117;12;117
118;12;118
119;12;119
120;12;120
121;12;121
122;12;122
123;12;123
124;13;124
125;13;125
126;13;126
127;13;127
128;13;128
129;13;129
130;13;130
131;13;131
132;13;132
133;13;133
134;13;134
135;13;135
136;13;136
137;13;137
138;13;138
139;13;139
140;13;140
141;13;141
142;13;142
143;13;143
144;14;144
145;14;145
146;14;146
147;14;147
148;14;148
149;14;149
150;14;150
151;14;151
152;14;152
153;14;153
154;14;154
155;14;155
156;14;156
157;14;157
158;14;158
159;14;159
160;14;160
161;14;161
162;14;162
163;14;163
164;15;164
165;15;165
166;15;166
167;15;167
168;15;168
169;15;169
170;15;170
171;15;171
172;15;172
173;15;173
174;15;174
175;15;175
176;15;176
177;15;177
178;15;178
179;15;179
180;15;180
181;15;181
182;15;182
183;15;183
184;16;184
185;16;185
186;16;186
187;16;187
188;16;188
189;16;189
190;16;190
191;16;191
192;16;192
193;16;193
194;16;194
195;16;195
196;16;196
197;16;197
198;16;198
199;16;199
200;16;200
201;16;201
202;16;202
203;16;203
204;16;204
205;16;205
206;16;206
207;16;207
208;16;208
209;16;209
210;16;210
211;16;211
212;16;212
213;16;213
214;17;214
215;17;215
216;17;216
217;17;217
218;17;218
219;17;219
220;17;220
221;17;221
222;17;222
223;17;223
224;17;224
225;17;225
226;17;226
227;17;227
228;17;228
229;17;229
230;17;230
231;17;231
232;17;232
233;17;233
234;17;234
235;17;235
236;17;236
237;17;237
238;17;238
239;17;239
240;17;240
241;17;241
242;17;242
243;17;243
244;18;244
245;18;245
246;18;246
247;18;247
248;18;248
249;18;249
250;18;250
251;18;251
252;18;252
253;18;253
254;18;254
255;18;255
256;18;256
257;18;257
258;18;258
259;18;259
260;18;260
261;18;261
262;18;262
263;18;263
264;18;264
265;18;265
266;18;266
267;18;267
268;18;268
269;18;269
270;18;270
271;18;271
272;18;272
273;18;273
274;9;274
275;9;275
276;9;276
277;9;277
278;9;278
279;9;279
280;9;280
281;9;281
282;9;282
283;9;283
284;9;284
285;9;285
286;9;286
287;9;287
288;9;288
289;9;289
290;9;290
291;9;291
292;9;292
293;9;293
294;3;294
295;3;295
296;3;296
297;3;297
298;3;298
299;3;299
300;3;300
301;3;301
302;3;302
303;3;303
304;3;304
305;3;305
306;3;306
307;3;307
308;3;308
309;3;309
310;3;310
311;3;311
312;3;312
313;3;313
314;4;314
315;4;315
316;4;316
317;4;317
318;4;318
319;4;319
320;4;320
321;4;321
322;4;322
323;4;323
324;4;324
325;4;325
326;4;326
327;4;327
328;4;328
329;4;329
330;4;330
331;4;331
332;4;332
333;4;333
334;5;334
335;5;335
336;5;336
337;5;337
338;5;338
339;5;339
340;5;340
341;5;341
342;5;342
343;5;343
344;5;344
345;5;345
346;5;346
347;5;347
348;5;348
349;5;349
350;5;350
351;5;351
352;5;352
353;5;353
354;6;354
355;6;355
356;6;356
357;6;357
358;6;358
359;6;359
360;6;360
361;6;361
362;6;362
363;6;363
364;6;364
365;6;365
366;6;366
367;6;367
368;6;368
369;6;369
370;6;370
371;6;371
372;6;372
373;6;373
374;7;374
375;7;375
376;7;376
377;7;377
378;7;378
379;7;379
380;7;380
381;7;381
382;7;382
383;7;383
384;7;384
385;7;385
386;7;386
387;7;387
388;7;388
389;7;389
390;7;390
391;7;391
392;7;392
393;7;393
394;19;394
395;19;395
396;19;396
397;19;397
398;19;398
399;19;399
400;19;400
401;19;401
402;19;402
403;19;403
404;19;404
405;19;405
406;19;406
407;19;407
408;19;408
409;19;409
410;19;410
411;19;411
412;19;412
413;19;413
414;8;414
415;8;415
416;8;416
417;8;417
418;8;418
419;8;419
420;8;420
421;8;421
422;8;422
423;8;423
424;8;424
425;8;425
426;8;426
427;8;427
428;8;428
429;8;429
430;8;430
431;8;431
432;8;432
433;8;433
434;20;434
435;20;435
436;20;436
437;20;437
438;20;438
439;20;439
440;20;440
441;20;441
442;20;442
443;20;443
444;20;444
445;20;445
446;20;446
447;20;447
448;20;448
449;20;449
450;20;450
451;20;451
452;20;452
453;20;453
454;21;454
455;21;455
456;21;456
457;21;457
458;21;458
459;21;459
460;21;460
461;21;461
462;21;462
463;21;463
464;21;464
465;21;465
466;21;466
467;21;467
468;21;468
469;21;469
470;21;470
471;21;471
472;21;472
473;21;473
474;22;474
475;22;475
476;22;476
477;22;477
478;22;478
479;22;479
480;22;480
481;22;481
482;22;482
483;22;483
484;22;484
485;22;485
486;22;486
487;22;487
488;22;488
489;22;489
490;22;490
491;22;491
492;22;492
493;22;493
494;23;494
495;23;495
496;23;496
497;23;497
498;23;498
499;23;499
500;23;500
501;23;501
502;23;502
503;23;503
504;23;504
505;23;505
506;23;506
507;23;507
508;23;508
509;23;509
510;23;510
511;23;511
512;23;512
513;23;513
514;24;514
515;24;515
516;24;516
517;24;517
518;24;518
519;24;519
520;24;520
521;24;521
522;24;522
523;24;523
524;24;524
525;24;525
526;24;526
527;24;527
528;24;528
529;24;529
530;24;530
531;24;531
532;24;532
533;24;533
534;25;534
535;25;535
536;25;536
537;25;537
538;25;538
539;25;539
540;25;540
541;25;541
542;25;542
543;25;543
544;25;544
545;25;545
546;25;546
547;25;547
548;25;548
549;25;549
550;25;550
551;25;551
552;25;552
553;25;553
554;25;554
555;25;555
556;25;556
557;25;557
558;25;558
559;25;559
560;25;560
561;25;561
562;25;562
563;26;563
564;26;564
565;26;565
566;26;566
567;26;567
568;26;568
569;26;569
570;26;570
571;26;571
572;26;572
573;26;573
574;26;574
575;26;575
576;26;576
577;26;577
578;26;578
579;26;579
580;26;580
581;26;581
582;26;582
583;26;583
584;26;584
585;26;585
586;26;586
587;26;587
588;26;588
589;26;589
590;26;590
591;26;591
592;26;592
593;26;593
594;26;594
595;26;595
596;26;596
597;26;597
598;26;598
599;26;599
600;26;600
601;26;601
602;26;602
603;27;603
604;27;604
605;27;605
606;27;606
607;27;607
608;27;608
609;27;609
610;27;610
611;27;611
612;27;612
613;27;613
614;27;614
615;27;615
616;27;616
617;27;617
618;27;618
619;27;619
620;27;620
621;27;621
622;27;622
623;27;623
624;27;624
625;27;625
626;27;626
627;27;627
628;27;628
629;27;629
630;27;630
631;27;631
632;27;632
633;27;633
634;27;634
635;27;635
636;27;636
637;27;637
638;27;638
639;27;639
640;27;640
641;27;641
642;27;642
643;28;643
644;28;644
645;28;645
646;28;646
647;28;647
648;28;648
649;28;649
650;28;650
651;28;651
652;28;652
653;28;653
654;28;654
655;28;655
656;28;656
657;28;657
658;28;658
659;28;659
660;28;660
661;28;661
662;28;662
663;29;663
664;29;664
665;29;665
666;29;666
667;29;667
668;29;668
669;29;669
670;29;670
671;29;671
672;29;672
673;29;673
674;29;674
675;29;675
676;29;676
677;29;677
678;29;678
679;29;679
680;29;680
681;29;681
682;29;682
683;29;683
684;29;684
685;29;685
686;29;686
687;29;687
688;29;688
689;29;689
690;29;690
691;29;691
692;29;692
693;29;693
694;29;694
695;29;695
696;29;696
697;29;697
698;29;698
699;29;699
700;29;700
701;29;701
702;29;702
703;30;703
704;30;704
705;30;705
706;30;706
707;30;707
708;30;708
709;30;709
710;30;710
711;30;711
712;30;712
713;30;713
714;30;714
715;30;715
716;30;716
717;30;717
718;30;718
719;30;719
720;30;720
721;30;721
722;30;722
723;31;723
724;31;724
725;31;725
726;31;726
727;31;727
728;31;728
729;31;729
730;31;730
731;31;731
732;31;732
733;31;733
734;31;734
735;31;735
736;31;736
737;31;737
738;31;738
739;31;739
740;31;740
741;31;741
742;31;742
743;32;743
744;32;744
745;32;745
746;32;746
747;32;747
748;32;748
749;32;749
750;32;750
751;32;751
752;32;752
753;32;753
754;32;754
755;32;755
756;32;756
757;32;757
758;32;758
759;32;759
760;32;760
761;32;761
762;32;762
763;33;763
764;33;764
765;33;765
766;33;766
767;33;767
768;33;768
769;33;769
770;33;770
771;33;771
772;33;772
773;33;773
774;33;774
775;33;775
776;33;776
777;33;777
778;33;778
779;33;779
780;33;780
781;33;781
782;33;782
783;34;783
784;34;784
785;34;785
786;34;786
787;34;787
788;34;788
789;34;789
790;34;790
791;34;791
792;34;792
793;34;793
794;34;794
795;34;795
796;34;796
797;34;797
798;34;798
799;34;799
800;34;800
801;34;801
802;34;802
803;34;803
804;34;804
805;34;805
806;34;806
807;34;807
808;34;808
809;34;809
810;34;810
811;34;811
812;34;812
813;34;813
814;34;814
815;34;815
816;34;816
817;34;817
818;34;818
819;34;819
820;34;820
821;34;821
822;34;822
823;35;823
824;35;824
825;35;825
826;35;826
827;35;827
828;35;828
829;35;829
830;35;830
831;35;831
832;35;832
833;35;833
834;35;834
835;35;835
836;35;836
837;35;837
838;35;838
839;35;839
840;35;840
841;35;841
842;35;842
843;36;843
844;36;844
845;36;845
846;36;846
847;36;847
848;36;848
849;36;849
850;36;850
851;36;851
852;36;852
853;36;853
854;36;854
855;36;855
856;36;856
857;36;857
858;36;858
859;36;859
860;36;860
861;36;861
862;36;862
863;37;863
864;37;864
865;37;865
866;37;866
867;37;867
868;37;868
869;37;869
870;37;870
871;37;871
872;37;872
873;37;873
874;37;874
875;37;875
876;37;876
877;37;877
878;37;878
879;37;879
880;37;880
881;37;881
882;37;882
883;37;883
884;37;884
885;37;885
886;37;886
887;37;887
888;37;888
889;37;889
890;37;890
891;37;891
892;37;892
893;37;893
894;37;894
895;37;895
