problem,solutions_agg,sentence,level,topic,fullname,solutions,pred
13,"['bathroom', 'kitchen', 'garden', 'carpet']",The _ is at the end of the hall.,2,dum-casti-domu,dum-casti-domu-2-uroven,bathroom,kitchen
13,"['bathroom', 'kitchen', 'garden', 'carpet']","Tom is in the _ , cutting up some vegetables.",2,dum-casti-domu,dum-casti-domu-2-uroven,kitchen,kitchen
13,"['bathroom', 'kitchen', 'garden', 'carpet']",He grows tomatoes in the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,garden,garden
13,"['bathroom', 'kitchen', 'garden', 'carpet']",The dog is sitting on the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,carpet,carpet
14,"['mirror', 'floor', 'chair', 'shower']",Look at yourself in the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,mirror,mirror
14,"['mirror', 'floor', 'chair', 'shower']",I live on the first _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,floor,floor
14,"['mirror', 'floor', 'chair', 'shower']",The teacher sat on the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,chair,floor
14,"['mirror', 'floor', 'chair', 'shower']",He always sings in the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,shower,chair
15,"['pool', 'bedroom', 'pillow', 'lamp']",Mary jumped into the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,pool,pool
15,"['pool', 'bedroom', 'pillow', 'lamp']",Jane sleeps in the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,bedroom,bedroom
15,"['pool', 'bedroom', 'pillow', 'lamp']",The _ is too hard for sleeping.,2,dum-casti-domu,dum-casti-domu-2-uroven,pillow,pillow
15,"['pool', 'bedroom', 'pillow', 'lamp']",The _ is hanging from the ceiling.,2,dum-casti-domu,dum-casti-domu-2-uroven,lamp,lamp
16,"['armchair', 'door', 'key', 'address', 'wall']",He was so tired that he fell asleep in the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,armchair,door
16,"['armchair', 'door', 'key', 'address', 'wall']","Close the _ , please.",2,dum-casti-domu,dum-casti-domu-2-uroven,door,door
16,"['armchair', 'door', 'key', 'address', 'wall']",I lost my _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,key,key
16,"['armchair', 'door', 'key', 'address', 'wall']",He changed his _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,address,address
16,"['armchair', 'door', 'key', 'address', 'wall']",Tom is building a _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,wall,wall
17,"['husband', 'aunt', 'child']",The _ wakes up his wife.,2,rodina-lide,rodina-lide-2-uroven,husband,child
17,"['husband', 'aunt', 'child']",My _ has three children.,2,rodina-lide,rodina-lide-2-uroven,aunt,husband
17,"['husband', 'aunt', 'child']",The _ is learning quickly.,2,rodina-lide,rodina-lide-2-uroven,child,child
18,"['brother', 'age', 'baby', 'uncle']",My younger _ watches TV.,2,rodina-lide,rodina-lide-2-uroven,brother,brother
18,"['brother', 'age', 'baby', 'uncle']",What is your _ ?,2,rodina-lide,rodina-lide-2-uroven,age,age
18,"['brother', 'age', 'baby', 'uncle']",Our _ cannot talk yet.,2,rodina-lide,rodina-lide-2-uroven,baby,baby
18,"['brother', 'age', 'baby', 'uncle']",She visited her aunt and _ .,2,rodina-lide,rodina-lide-2-uroven,uncle,uncle
19,"['sister', 'family', 'guest', 'person', 'woman']",My _ will prepare breakfast.,3,rodina-lide,rodina-lide-3-uroven,sister,family
19,"['sister', 'family', 'guest', 'person', 'woman']",I have a large _ .,3,rodina-lide,rodina-lide-3-uroven,family,family
19,"['sister', 'family', 'guest', 'person', 'woman']",Tom is our _ .,3,rodina-lide,rodina-lide-3-uroven,guest,guest
19,"['sister', 'family', 'guest', 'person', 'woman']",You're a kind _ .,3,rodina-lide,rodina-lide-3-uroven,person,person
19,"['sister', 'family', 'guest', 'person', 'woman']",Mary is a very busy _ .,3,rodina-lide,rodina-lide-3-uroven,woman,woman
20,"['married', 'family', 'grandfather', 'surname']",Are you _ ?,3,rodina-lide,rodina-lide-3-uroven,married,married
20,"['married', 'family', 'grandfather', 'surname']",Mary comes from a good _ .,3,rodina-lide,rodina-lide-3-uroven,family,family
